ID,EnterDate,Position,EnterPrice,EnterSignal,ExitDate,ExitPrice,ExitSignal
286,2020-08-04,Long,11246.2031,Semi-Long,2020-08-05,11203.8232,Semi-Short
287,2020-08-06,Long,11749.8711,Semi-Long,2020-08-07,11778.8945,Semi-Short
288,2020-08-08,Long,11604.5537,Semi-Long,2020-08-09,11737.3252,Semi-Short
289,2020-08-10,Long,11662.2568,Semi-Long,2020-08-11,11881.6475,Semi-Short
290,2020-08-12,Long,11404.5967,Semi-Long,2020-08-13,11588.4053,Semi-Short
291,2020-08-14,Long,11772.6592,Semi-Long,2020-08-15,11768.6973,Semi-Short
292,2020-08-16,Long,11866.6855,Semi-Long,2020-08-17,11895.6582,Semi-Short
293,2020-08-18,Long,12251.8955,Semi-Long,2020-08-19,11990.8848,Semi-Short
294,2020-08-20,Long,11761.5000,Semi-Long,2020-08-21,11878.0264,Semi-Short
295,2020-08-22,Long,11585.4775,Semi-Long,2020-08-23,11679.6963,Semi-Short
296,2020-08-24,Long,11663.6895,Semi-Long,2020-08-25,11773.5889,Semi-Short
297,2020-08-26,Long,11366.8945,Semi-Long,2020-08-27,11485.6084,Semi-Short
298,2020-08-28,Long,11325.2959,Semi-Long,2020-08-29,11541.0547,Short
299,2020-08-30,Long,11508.7139,Semi-Long,2020-08-31,11713.3066,Semi-Short
300,2020-09-01,Long,11679.3164,Semi-Long,2020-09-02,11964.8232,Semi-Short
301,2020-09-03,Long,11407.1914,Semi-Long,2020-09-04,10230.3652,Semi-Short
302,2020-09-05,Long,10512.5303,Semi-Long,2020-09-06,10167.2168,Semi-Short
303,2020-09-07,Long,10280.9980,Semi-Long,2020-09-08,10369.3066,Semi-Short
304,2020-09-09,Long,10134.1514,Semi-Long,2020-09-10,10242.3301,Semi-Short
305,2020-09-11,Long,10369.0283,Semi-Long,2020-09-12,10409.8613,Semi-Short
306,2020-09-13,Long,10452.3994,Semi-Long,2020-09-14,10328.7344,Semi-Short
307,2020-09-15,Long,10677.7549,Semi-Long,2020-09-16,10797.7617,Semi-Short
